month,agent,total.mobile-app,total.desktop,total.mobile-web
2020-04-01T00:00:00.000Z,user,2331579,152138288,168483953
2020-04-01T00:00:00.000Z,spider,1438,69414253,9804250
2020-04-01T00:00:00.000Z,automated,21,179960,6039
2020-05-01T00:00:00.000Z,user,1759487,154834044,168234716
2020-05-01T00:00:00.000Z,spider,902,68220616,11095188
2020-05-01T00:00:00.000Z,automated,1884,3078012,298929
2020-06-01T00:00:00.000Z,user,322885,114756343,136437358
2020-06-01T00:00:00.000Z,spider,158,47955328,7370385
2020-06-01T00:00:00.000Z,automated,16,3829991,665005
2020-07-01T00:00:00.000Z,user,1879877,83777155,130356455
2020-07-01T00:00:00.000Z,spider,655,51255878,7978652
2020-07-01T00:00:00.000Z,automated,33980,4823533,404287
2020-08-01T00:00:00.000Z,user,2046919,78668437,134459137
2020-08-01T00:00:00.000Z,spider,576,50458809,6864527
2020-08-01T00:00:00.000Z,automated,796,2997613,306064
2020-09-01T00:00:00.000Z,user,1952015,87015900,131949579
2020-09-01T00:00:00.000Z,spider,450,46559298,6904681
2020-09-01T00:00:00.000Z,automated,1146,3958486,264182
2020-10-01T00:00:00.000Z,user,2124513,113829835,145058212
2020-10-01T00:00:00.000Z,spider,938,44251114,8334694
2020-10-01T00:00:00.000Z,automated,2709,4061070,219860
2020-11-01T00:00:00.000Z,user,2245411,142885676,166938543
2020-11-01T00:00:00.000Z,spider,659,50435265,8311098
2020-11-01T00:00:00.000Z,automated,2217,2890053,290666
2020-12-01T00:00:00.000Z,user,2176666,122364120,154063202
2020-12-01T00:00:00.000Z,spider,541,51988523,12551865
2020-12-01T00:00:00.000Z,automated,755,3223732,387066
2021-01-01T00:00:00.000Z,user,2379162,132562608,170019077
2021-01-01T00:00:00.000Z,spider,463,50187335,12160731
2021-01-01T00:00:00.000Z,automated,7095,2713738,615677
2021-02-01T00:00:00.000Z,user,2003688,132111598,147526458
2021-02-01T00:00:00.000Z,spider,451,45542385,10678127
2021-02-01T00:00:00.000Z,automated,786,5393662,370932
2021-03-01T00:00:00.000Z,user,2142932,143794577,161632080
2021-03-01T00:00:00.000Z,spider,355,51341123,12440665
2021-03-01T00:00:00.000Z,automated,199,2584770,444906
2021-04-01T00:00:00.000Z,user,2178091,126882472,162967556
2021-04-01T00:00:00.000Z,spider,354,56950706,11165695
2021-04-01T00:00:00.000Z,automated,324,4790663,595881
2021-05-01T00:00:00.000Z,user,2066436,113814767,148836968
2021-05-01T00:00:00.000Z,spider,237,55610300,10777162
2021-05-01T00:00:00.000Z,automated,402,4379063,534382
2021-06-01T00:00:00.000Z,user,1883728,93072950,132962045
2021-06-01T00:00:00.000Z,spider,264,54895019,8593786
2021-06-01T00:00:00.000Z,automated,356,5035512,884618
2021-07-01T00:00:00.000Z,user,2000700,78285864,136804378
2021-07-01T00:00:00.000Z,spider,259,51023286,6710295
2021-07-01T00:00:00.000Z,automated,2483,5733046,4362076
2021-08-01T00:00:00.000Z,user,2129994,79880423,144919799
2021-08-01T00:00:00.000Z,spider,197,44490856,7311157
2021-08-01T00:00:00.000Z,automated,1210,3106524,1027671
2021-09-01T00:00:00.000Z,user,1935327,82579817,137318325
2021-09-01T00:00:00.000Z,spider,275,42665564,8343900
2021-09-01T00:00:00.000Z,automated,498,4638084,1213017
2021-10-01T00:00:00.000Z,user,2041925,94412562,146181566
2021-10-01T00:00:00.000Z,spider,206,52960676,10350736
2021-10-01T00:00:00.000Z,automated,978,4913572,1532807
2021-11-01T00:00:00.000Z,user,2083780,99506261,151214379
2021-11-01T00:00:00.000Z,spider,185,50706170,9568064
2021-11-01T00:00:00.000Z,automated,3615,5339506,1042285
2021-12-01T00:00:00.000Z,user,2175607,92681242,146562941
2021-12-01T00:00:00.000Z,spider,167,53694939,8972391
2021-12-01T00:00:00.000Z,automated,318,6944817,2597402
2022-01-01T00:00:00.000Z,user,2469134,112878119,166793371
2022-01-01T00:00:00.000Z,spider,145,59618871,11484606
2022-01-01T00:00:00.000Z,automated,1769,10177670,1694410
2022-02-01T00:00:00.000Z,user,2159362,103570785,151809797
2022-02-01T00:00:00.000Z,spider,279,50395755,12791106
2022-02-01T00:00:00.000Z,automated,921,7665044,1472513
2022-03-01T00:00:00.000Z,user,2304414,102161359,155603608
2022-03-01T00:00:00.000Z,spider,334,55724275,11138664
2022-03-01T00:00:00.000Z,automated,806,5186317,1373116
2022-04-01T00:00:00.000Z,user,2226148,87507402,140040445
2022-04-01T00:00:00.000Z,spider,235,47206631,12218938
2022-04-01T00:00:00.000Z,automated,9942,4887203,1717687
2022-05-01T00:00:00.000Z,user,2147787,85582919,129532646
2022-05-01T00:00:00.000Z,spider,455,45426678,17687110
2022-05-01T00:00:00.000Z,automated,3152,10079308,1552750
2022-06-01T00:00:00.000Z,user,2009991,76521261,116878749
2022-06-01T00:00:00.000Z,spider,505,45012158,16224327
2022-06-01T00:00:00.000Z,automated,16026,8092747,1801092
2022-07-01T00:00:00.000Z,user,2134452,64369761,123249693
2022-07-01T00:00:00.000Z,spider,281,42551221,15039473
2022-07-01T00:00:00.000Z,automated,3407,5264549,10854622
2022-08-01T00:00:00.000Z,user,2230130,64870452,129184653
2022-08-01T00:00:00.000Z,spider,452,42250526,14031657
2022-08-01T00:00:00.000Z,automated,2964,4011607,19963679
2022-09-01T00:00:00.000Z,user,2181375,72520626,139575236
2022-09-01T00:00:00.000Z,spider,400,42880835,14324625
2022-09-01T00:00:00.000Z,automated,588,7241935,30568130
2022-10-01T00:00:00.000Z,user,2234470,78144000,141779586
2022-10-01T00:00:00.000Z,spider,262,42597944,13342303
2022-10-01T00:00:00.000Z,automated,2010,3948258,25827087
2022-11-01T00:00:00.000Z,user,2225778,82922957,150951376
2022-11-01T00:00:00.000Z,spider,265,44625178,12630617
2022-11-01T00:00:00.000Z,automated,1490,4116480,37604824
2022-12-01T00:00:00.000Z,user,2380842,77440479,144663759
2022-12-01T00:00:00.000Z,spider,238,46033690,20135458
2022-12-01T00:00:00.000Z,automated,2098,4560204,5023452
2023-01-01T00:00:00.000Z,user,2493224,91552634,156734110
2023-01-01T00:00:00.000Z,spider,238,45059343,14755541
2023-01-01T00:00:00.000Z,automated,3440,4294399,14625850
2023-02-01T00:00:00.000Z,user,2148459,77374335,136293352
2023-02-01T00:00:00.000Z,spider,348,42061399,11899367
2023-02-01T00:00:00.000Z,automated,7431,12762403,26457113
2023-03-01T00:00:00.000Z,user,2294287,85266494,147598070
2023-03-01T00:00:00.000Z,spider,169,48825641,14845770
2023-03-01T00:00:00.000Z,automated,1875,7151161,30083378
2023-04-01T00:00:00.000Z,user,2283190,75641099,139261815
2023-04-01T00:00:00.000Z,spider,204,53704930,14889713
2023-04-01T00:00:00.000Z,automated,4507,7137033,14671667
2023-05-01T00:00:00.000Z,user,2299656,79719596,151425743
2023-05-01T00:00:00.000Z,spider,212,46165479,14135154
2023-05-01T00:00:00.000Z,automated,2835,4716841,32870607
2023-06-01T00:00:00.000Z,user,2096413,74433612,140998131
2023-06-01T00:00:00.000Z,spider,179,48056411,14334580
2023-06-01T00:00:00.000Z,automated,5062,7512664,30603065
2023-07-01T00:00:00.000Z,user,2231721,65599439,145631563
2023-07-01T00:00:00.000Z,spider,48,45911063,14204712
2023-07-01T00:00:00.000Z,automated,4064,7438584,32831484
2023-08-01T00:00:00.000Z,user,2345980,65849800,152133225
2023-08-01T00:00:00.000Z,spider,111,43775245,13292970
2023-08-01T00:00:00.000Z,automated,3367,6247438,34434371
2023-09-01T00:00:00.000Z,user,2112257,64384673,136663752
2023-09-01T00:00:00.000Z,spider,56,36921551,13455720
2023-09-01T00:00:00.000Z,automated,858,5822854,34787576
2023-10-01T00:00:00.000Z,user,2187039,73578767,145161269
2023-10-01T00:00:00.000Z,spider,71,39353717,17875191
2023-10-01T00:00:00.000Z,automated,3631,6456259,36565464
2023-11-01T00:00:00.000Z,user,2220080,74667145,145823224
2023-11-01T00:00:00.000Z,spider,80,39461133,14588715
2023-11-01T00:00:00.000Z,automated,914,5088059,33802606
2023-12-01T00:00:00.000Z,user,2366007,70192628,151981374
2023-12-01T00:00:00.000Z,spider,98,37499958,21502565
2023-12-01T00:00:00.000Z,automated,3878,6191180,36044766
2024-01-01T00:00:00.000Z,user,2475538,90295687,165633436
2024-01-01T00:00:00.000Z,spider,68,41622189,22548710
2024-01-01T00:00:00.000Z,automated,1684,31635967,38748562
2024-02-01T00:00:00.000Z,user,2213495,71628394,141654467
2024-02-01T00:00:00.000Z,spider,5,39088758,21994947
2024-02-01T00:00:00.000Z,automated,999,74545402,35914588
2024-03-01T00:00:00.000Z,user,2373761,72388311,147641500
2024-03-01T00:00:00.000Z,spider,7,37876130,18972490
2024-03-01T00:00:00.000Z,automated,711,9546123,37178002
2024-04-01T00:00:00.000Z,user,2250967,69196122,140868023
2024-04-01T00:00:00.000Z,spider,24,40125973,18812401
2024-04-01T00:00:00.000Z,automated,2749,6784345,35104372
2024-05-01T00:00:00.000Z,user,2401558,69579056,141504074
2024-05-01T00:00:00.000Z,spider,34,40716142,18410907
2024-05-01T00:00:00.000Z,automated,13553,6126325,12107314
2024-06-01T00:00:00.000Z,user,2277148,66762166,133728438
2024-06-01T00:00:00.000Z,spider,166,46288767,18497340
2024-06-01T00:00:00.000Z,automated,10281,7367796,2362074
2024-07-01T00:00:00.000Z,user,2435585,60736994,140059518
2024-07-01T00:00:00.000Z,spider,69,33819573,19103870
2024-07-01T00:00:00.000Z,automated,7749,8154185,2158863
2024-08-01T00:00:00.000Z,user,2563952,61946198,146720879
2024-08-01T00:00:00.000Z,spider,138,40768130,18272960
2024-08-01T00:00:00.000Z,automated,6618,9660674,2271782
2024-09-01T00:00:00.000Z,user,2294487,60773738,129424998
2024-09-01T00:00:00.000Z,spider,401,31197786,17877424
2024-09-01T00:00:00.000Z,automated,692,10948242,4364271
2024-10-01T00:00:00.000Z,user,2390699,69634251,136676998
2024-10-01T00:00:00.000Z,spider,123,24360123,16263281
2024-10-01T00:00:00.000Z,automated,1787,9889041,4310900
2024-11-01T00:00:00.000Z,user,2441795,70250623,146243679
2024-11-01T00:00:00.000Z,spider,71,24803537,15850948
2024-11-01T00:00:00.000Z,automated,969,13961044,3550316
2024-12-01T00:00:00.000Z,user,2542886,67523768,149710213
2024-12-01T00:00:00.000Z,spider,29,23371998,18646428
2024-12-01T00:00:00.000Z,automated,2519,14965756,3385003
2025-01-01T00:00:00.000Z,user,2662531,81605352,167863819
2025-01-01T00:00:00.000Z,spider,71,25690678,20013929
2025-01-01T00:00:00.000Z,automated,3631,16317156,4175721
2025-02-01T00:00:00.000Z,user,2267384,69421281,139332014
2025-02-01T00:00:00.000Z,spider,104,23389501,15962251
2025-02-01T00:00:00.000Z,automated,2229,13711025,3849673
2025-03-01T00:00:00.000Z,user,2455531,74706375,147071731
2025-03-01T00:00:00.000Z,spider,102,32676389,16970032
2025-03-01T00:00:00.000Z,automated,3167,16480776,3583866
2025-04-01T00:00:00.000Z,user,2359263,63260960,133719360
2025-04-01T00:00:00.000Z,spider,99,31773730,18384537
2025-04-01T00:00:00.000Z,automated,5474,17112429,4439747
2025-05-01T00:00:00.000Z,user,2173855,60881419,131194346
2025-05-01T00:00:00.000Z,spider,108,31398314,18719736
2025-05-01T00:00:00.000Z,automated,11162,28324420,10063176
2025-06-01T00:00:00.000Z,user,1910157,53878251,114995421
2025-06-01T00:00:00.000Z,spider,54,26091667,19786100
2025-06-01T00:00:00.000Z,automated,13996,25223582,6238643
2025-07-01T00:00:00.000Z,user,2058195,58038449,126642531
2025-07-01T00:00:00.000Z,spider,1,34189426,20586136
2025-07-01T00:00:00.000Z,automated,3942,18018940,6070900
2025-08-01T00:00:00.000Z,user,2319047,56414326,138176949
2025-08-01T00:00:00.000Z,spider,,42303687,22053125
2025-08-01T00:00:00.000Z,automated,3934,20411847,4352308
2025-09-01T00:00:00.000Z,user,2151055,57357035,129821058
2025-09-01T00:00:00.000Z,spider,2,45457497,18887785
2025-09-01T00:00:00.000Z,automated,6666,27313774,5070406
2025-10-01T00:00:00.000Z,user,2219776,66640012,132430908
2025-10-01T00:00:00.000Z,spider,2,47925707,23719326
2025-10-01T00:00:00.000Z,automated,18479,18724813,3954938
2025-11-01T00:00:00.000Z,user,2247047,89594598,136452924
2025-11-01T00:00:00.000Z,spider,4,45966356,22411325
2025-11-01T00:00:00.000Z,automated,11753,34215919,3664853
2025-12-01T00:00:00.000Z,user,2212732,61483711,126468114
2025-12-01T00:00:00.000Z,spider,,39172244,22236929
2025-12-01T00:00:00.000Z,automated,12020,78690569,5486260
2026-01-01T00:00:00.000Z,user,2286994,67998279,133998551
2026-01-01T00:00:00.000Z,spider,,33524631,22451134
2026-01-01T00:00:00.000Z,automated,5171,75668324,5027585
2026-02-01T00:00:00.000Z,user,2009236,55509513,120497555
2026-02-01T00:00:00.000Z,spider,,28172478,19862589
2026-02-01T00:00:00.000Z,automated,10193,26817682,3410227
2026-03-01T00:00:00.000Z,user,2095861,60187212,116336909
2026-03-01T00:00:00.000Z,spider,2,28212094,16224861
2026-03-01T00:00:00.000Z,automated,10179,35209582,3449216
2026-04-01T00:00:00.000Z,user,2084938,56370788,113582116
2026-04-01T00:00:00.000Z,spider,1,25442323,10381688
2026-04-01T00:00:00.000Z,automated,4973,26539790,3733719
2026-05-01T00:00:00.000Z,user,2100527,64182874,113706192
2026-05-01T00:00:00.000Z,spider,15,30861801,13715605
2026-05-01T00:00:00.000Z,automated,11445,24568104,2958131
2026-06-01T00:00:00.000Z,user,1996047,65467037,112115791
2026-06-01T00:00:00.000Z,spider,5,26249971,15878879
2026-06-01T00:00:00.000Z,automated,14515,25085340,4051099
